,City,CERT,Acquiring Institution,Closing Date string,Closing Date,Updated Date,
Metropolitan Savings Bank,Pittsburgh,35353,Allegheny Valley Bank of Pittsburgh,February 2 2007,2-Feb-07,27-Oct-10,2007-02-02-MetropolitanSavings.svg
NetBank,Alpharetta,32575,ING DIRECT,September 28 2007,28-Sep-07,28-Aug-12,2007-09-28-netbank.svg
Miami Valley Bank,Lakeview,16848,The Citizens Banking Company,October 4 2007,4-Oct-07,28-Aug-12,2007-10-04-miamivalleybank.svg
Douglass National Bank,Kansas City,24660,Liberty Bank and Trust Company,January 25 2008,25-Jan-08,26-Oct-12,2008-01-25-douglassnationalbank.svg
Hume Bank,Hume,1971,Security Bank,March 7 2008,7-Mar-08,28-Aug-12,2008-03-07-humebank.svg
Bear Stearns,,,,,16-Mar-08,,2008-03-16-Bear-Stearns.svg
"ANB Financial, NA",Bentonville,33901,Pulaski Bank and Trust Company,May 2009 2008,9-May-08,28-Aug-12,2008-05-09-ANB.svg
"First Integrity Bank, NA",Staples,12736,First International Bank and Trust,"May,30 2008",30-May-08,28-Aug-12,2008-05-30-firstintegritybankNA.svg
IndyMac Bank,Pasadena,29730,"OneWest Bank, FSB",July 11 2008,11-Jul-08,28-Aug-12,2008-07-11-indymacbank.svg
"First Heritage Bank, NA",Newport Beach,57961,Mutual of Omaha Bank,July 25 2008,25-Jul-08,28-Aug-12,2008-07-25-1stheritagebank.svg
First National Bank of Nevada,Reno,27011,Mutual of Omaha Bank,July 25 2008,25-Jul-08,28-Aug-12,2008-07-25-firstnationalbankNV.svg
First Priority Bank,Bradenton,57523,SunTrust Bank,August 1 2008,1-Aug-08,16-Aug-12,2008-08-01-firstprioritybank.svg
Columbian Bank & Trust,Topeka,22728,Citizens Bank & Trust,August 22 2008,22-Aug-08,16-Aug-12,2008-08-22-columbianbank.svg
Integrity Bank,Alpharetta,35469,Regions Bank,August 29 2008,29-Aug-08,16-Aug-12,2008-08-28-integritybank.svg
Silver State Bank,Henderson,34194,Nevada State Bank,September 5 2008,5-Sep-08,25-Oct-13,2008-09-05-silverstatebank.svg
Fannie Mae,,,,,6-Sep-08,,2008-09-06-Fannie_Mae.svg
Freddie Mac,,,,,6-Sep-08,,2008-09-06-Freddie_Mac.svg
Merrill Lynch,,,,,14-Sep-08,,2008-09-14-Merrill_Lynch.svg
Lehman Brothers,,,,,15-Sep-08,,2008-09-15-Lehman_Brothers.svg
AIG,,,,,16-Sep-08,,2008-09-16-AIG.svg
Ameribank,Northfork,6782,"The Citizens Savings Bank, Pioneer Community Bank, Inc.",September 19 2008,19-Sep-08,16-Aug-12,2008-09-19-ameribank.svg
Washington Mutual Bank (Including its subsidiary Washington Mutual Bank FSB),Henderson,32633,JP Morgan Chase Bank,September 25 2008,25-Sep-08,16-Aug-12,2008-07-25-Washington_Mutual.svg
Meridian Bank,Eldred,13789,National Bank,October 10 2008,10-Oct-08,31-May-12,2010-10-08-meridianbank.svg
Main Street Bank,Northville,57654,Monroe Bank & Trust,October 10 2008,10-Oct-08,1-Aug-13,2008-10-10-mainstreetbank.svg
Alpha Bank & Trust,Alpharetta,58241,"Stearns Bank, N.A.",October 24 2008,24-Oct-08,16-Aug-12,2008-10-24-alphabanktrust.svg
