Pacific Coast National Bank,San Clemente,CA,57914,Sunwest Bank,13-Nov-09,22-Aug-12,2009-11-13-pacificcoastnationalbank.ai
Orion Bank,Naples,FL,22427,IBERIABANK,13-Nov-09,21-Mar-14,2009-11-13-logoorionbank.ai
"Century Bank, F.S.B.",Sarasota,FL,32267,IBERIABANK,13-Nov-09,21-Mar-14,2009-11-13-logo-centuryfsb.ai
United Commercial Bank,San Francisco,CA,32469,East West Bank,6-Nov-09,5-Nov-12,2009-11-06-UnitedCommercialBank.ai
Gateway Bank of St. Louis,St. Louis,MO,19450,Central Bank of Kansas City,6-Nov-09,22-Aug-12,2009-11-06-Gatewaybank.ai
Prosperan Bank,Oakdale,MN,35074,"Alerus Financial, N.A.",6-Nov-09,22-Aug-12,2009-11-06-prosperanbank.ai
Home Federal Savings Bank,Detroit,MI,30329,Liberty Bank and Trust Company,6-Nov-09,22-Aug-12,
United Security Bank,Sparta,GA,22286,Ameris Bank,6-Nov-09,21-Mar-14,2009-11-06-UnitedSecurityBank.ai
North Houston Bank,Houston,TX,18776,U.S. Bank N.A.,30-Oct-09,22-Aug-12,2009-10-30-NorthHoustonBank.ai
Madisonville State Bank,Madisonville,TX,33782,U.S. Bank N.A.,30-Oct-09,22-Aug-12,2009-10-30-MadisonvilleState Bank.ai
Citizens National Bank,Teague,TX,25222,U.S. Bank N.A.,30-Oct-09,22-Aug-12,
Park National Bank,Chicago,IL,11677,U.S. Bank N.A.,30-Oct-09,22-Aug-12,2009-10-30-Park National Bank Logo1.ai
Pacific National Bank,San Francisco,CA,30006,U.S. Bank N.A.,30-Oct-09,22-Aug-12,2009-10-30-pacificNationalBank.ai
California National Bank,Los Angeles,CA,34659,U.S. Bank N.A.,30-Oct-09,5-Sep-12,2009-10-30-CalNationalBank-color.ai
San Diego National Bank,San Diego,CA,23594,U.S. Bank N.A.,30-Oct-09,22-Aug-12,2009-10-30-SanDiegoNtionalBank.ai
Community Bank of Lemont,Lemont,IL,35291,U.S. Bank N.A.,30-Oct-09,15-Jan-13,2009-10-30-communityBank of Lemont.ai
"Bank USA, N.A.",Phoenix,AZ,32218,U.S. Bank N.A.,30-Oct-09,22-Aug-12,2009-10-30-BankUSA.ai
First DuPage Bank,Westmont,IL,35038,First Midwest Bank,23-Oct-09,22-Aug-12,2009-10-23-first-dupage-bank.ai
Riverview Community Bank,Otsego,MN,57525,Central Bank,23-Oct-09,22-Aug-12,2009-10-23-Riverview Community Bank.ai
Bank of Elmwood,Racine,WI,18321,Tri City National Bank,23-Oct-09,22-Aug-12,2009-10-23-Bank of Elmwood.ai
Flagship National Bank,Bradenton,FL,35044,First Federal Bank of Florida,23-Oct-09,22-Aug-12,2009-10-23-Flagship National Bank.ai
Hillcrest Bank Florida,Naples,FL,58336,Stonegate Bank,23-Oct-09,22-Aug-12,2009-10-23-Hillcrest Bank.ai
American United Bank,Lawrenceville,GA,57794,Ameris Bank,23-Oct-09,5-Sep-12,2009-10-23-American United Bank.ai
Partners Bank,Naples,FL,57959,Stonegate Bank,23-Oct-09,15-Jan-13,2009-10-23-Partners bank1.ai
